country,study_id,region,age_low,age_high,gender,population,date,age_breakdown,gender_breakdown,for_regional_analysis,reference
England,GBR2,East,0,1,Female,35923,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,0,1,Male,37568,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,1,2,Female,35951,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,1,2,Male,37763,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,2,3,Female,36600,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,2,3,Male,38647,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,3,4,Female,37648,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,3,4,Male,39488,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,4,5,Female,38929,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,4,5,Male,40525,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,5,6,Female,38274,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,5,6,Male,40412,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,6,7,Female,37979,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,6,7,Male,39653,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,7,8,Female,37573,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,7,8,Male,39111,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,8,9,Female,37441,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,8,9,Male,39623,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,9,10,Female,35856,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,9,10,Male,37973,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,10,11,Female,35114,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,10,11,Male,37031,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,11,12,Female,33844,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,11,12,Male,35706,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,12,13,Female,33810,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,12,13,Male,35473,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,13,14,Female,32403,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,13,14,Male,34210,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,14,15,Female,31754,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,14,15,Male,33998,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,15,16,Female,33320,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,15,16,Male,34380,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,16,17,Female,33559,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,16,17,Male,35586,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,17,18,Female,34807,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,17,18,Male,36445,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,18,19,Female,34584,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,18,19,Male,36650,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
England,GBR2,East,19,20,Female,31091,15-Jul,1,1,1,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesanalysistool
