region,state,state_abbr
North,Acre,AC
North,Amapa,AP
North,Amazonas,AM
North,Rondonia,RO
North,Roraima,RR
North,Para,PA
North,Tocatins,TO
Northeast,Alagoas,AL
Northeast,Bahia,BA
Northeast,Ceara,CE
Northeast,Maranhao,MA
Northeast,Pernambuco,PE
Northeast,Piau,PI
Northeast,Paraiba,PB
Northeast,Rio Grande de Norte,RN
Northeast,Sergipe,SE
Central-West,Federal District,DF
Central-West,Goias,GO
Central-West,Mato Grosso,MT
Central-West,Mato Grosso do Sul,MS
Southeast,Espirito Santo,ES
Southeast,Minas Gerais,MG
Southeast,Rio de Janeiro,RJ
Southeast,Sao Paolo,SP
South,Parana,PR
South,Rio Grande do Sul,RS
South,Santa Catarina,SC
