country,study_id,age_low,age_high,region,gender,n_deaths,date_start_survey,date_end_survey,matching_with_sero,cumulative,age_breakdown,gender_breakdown,for_regional_analysis,time_series,ref,notes
Spain,ESP1,0,999,all,both,26920,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Andalucia,both,1326,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Aragon,both,828,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Asturias,both,304,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Baleares,both,210,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Canarias,both,151,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Cantabria,both,203,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Castilla La Mancha,both,2811,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Castilla y Leon,both,1914,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Cataluna,both,5621,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Ceuta,both,4,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,C Valenciana,both,1336,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Extremadura,both,487,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Galicia,both,595,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Madrid,both,8720,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Melilla,both,2,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Murcia,both,139,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Navarra,both,493,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,Pais Vasco,both,1429,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,999,La Rioja,both,347,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,1,0,"https://www.rtve.es/noticias/20200602/mapa-del-coronavirus-espana/2004681.shtml, Accessed 11/05/2020",
Spain,ESP1,0,10,all,both,2,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,10,20,all,both,5,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,20,30,all,both,23,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,30,40,all,both,61,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,40,50,all,both,198,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,50,60,all,both,607,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,60,70,all,both,1669,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,70,80,all,both,4544,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,80,90,all,both,7728,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,90,999,all,both,3981,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,0,0,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,0,10,all,female,1,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,10,20,all,female,3,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,20,30,all,female,9,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,30,40,all,female,22,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,40,50,all,female,71,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,50,60,all,female,176,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,60,70,all,female,488,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,70,80,all,female,1444,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,80,90,all,female,3416,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,90,999,all,female,2426,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,0,10,all,male,1,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,10,20,all,male,2,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,20,30,all,male,14,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,30,40,all,male,39,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,40,50,all,male,127,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,50,60,all,male,431,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,60,70,all,male,1181,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,70,80,all,male,3100,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,80,90,all,male,4312,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
Spain,ESP1,90,999,all,male,1555,1/1/20,11/5/20,regional distribution wrong date - use ecdc totals to adjust,yes,1,1,0,0,ministry of health,age data not compete for many deaths - do not use as total deaths
