country	study_id	age_low	age_high	region	gender	n_deaths	date_start_survey	date_end_survey	age_breakdown	for_regional_analysis	ref
Switzerland	CHE1	0	9	Geneva	both	0	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE1	10	19	Geneva	both	0	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE1	20	29	Geneva	both	0	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE1	30	39	Geneva	both	2	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE1	40	49	Geneva	both	0	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE1	50	59	Geneva	both	9	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE1	60	69	Geneva	both	14	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE1	70	79	Geneva	both	49	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Switzerland	CHE1	80	999	Geneva	both	196	2020-02-25	2020-05-25	1	1	https://covid-19-schweiz.bagapps.ch/fr-1.html
Denmark	DNK1	0	59	all	both	16	2020-01-01	2020-05-22	1	0	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	60	69	all	both	54	2020-01-01	2020-05-22	1	0	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	70	79	all	both	159	2020-01-01	2020-05-22	1	0	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	80	89	all	both	213	2020-01-01	2020-05-22	1	0	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	90	999	all	both	119	2020-01-01	2020-05-22	1	0	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	0	999	all	male	317	2020-01-01	2020-05-22	0	0	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	0	999	all	female	244	2020-01-01	2020-05-22	0	0	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	0	999	Capital	both	322	2020-01-01	2020-05-22	0	1	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	0	999	South DK & Zealand	both	148	2020-01-01	2020-05-22	0	1	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Denmark	DNK1	0	999	Central DK & North DK	both	91	2020-01-01	2020-05-22	0	1	https://www.sst.dk/da/corona/tal-og-overvaagning#5
Spain	ESP1-2	0	999	Andalucía	both	1426	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
Spain	ESP1-2	0	999	Aragón	both	911	2020-01-01	2020-06-22	0	1	https://github.com/ec-jrc/COVID-19/blob/master/data-by-region/jrc-covid-19-regions-20200622.csv
