Region,State,State_Name
North,AC,Acre
Northeast,AL,Alagoas
North,AP,Amapa
North,AM,Amazonas
Northeast,BA,Bahia
Northeast,CE,Ceara
Central-West,DF,Distrito Federal
Southeast,ES,Espirito Santo
Central-West,GO,Goias
Northeast,MA,Marahao
Central-West,MT,Mato Grosso
Central-West,MS,Mato Grosso do Sul
Southeast,MG,Minas Gerais
North,PA,Para
Northeast,PB,Paraiba
Northeast,PE,Pernambuco
Northeast,PI,Piaui
South,PR,Parana
Southeast,RJ,Rio de Janeiro
Northeast,RN,Rio Grande de Norte
North,RO,Rondonia
North,RR,Roraima
South,RS,Rio Grande do Sul
South,SC,Santa Catarina
Northeast,SE,Sergipe
Southeast,SP,Sao Paulo
North,TO,Tocantins
