country,study_id,age_low,age_high,region,gender,n_tested,n_positive,seroprevalence_unadjusted,range_sero_low,range_sero_high,seroprevalence_weighted,matching_deaths_data,date_start_survey,date_end_survey,age_breakdown,gender_breakdown,for_regional_analysis,national_summary,ref,notes,
Spain,ESP1,0,999,all,both,61075,,0.05,,,,ecdc,27/04/2020,11/5/20,0,0,0,1,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP2,0,999,all,both,63564,,0.052,,,,ecdc,18/05/2020,1/6/20,0,0,0,1,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,0,1,all,both,270,,0.01,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,1,5,all,both,1696,,0.023,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,5,10,all,both,2862,,0.03,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,10,15,all,both,3433,,0.04,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,15,20,all,both,3229,,0.037,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,20,25,all,both,2815,,0.044,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,25,30,all,both,2613,,0.049,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,30,35,all,both,3063,,0.039,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,35,40,all,both,4012,,0.047,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,40,45,all,both,5184,,0.053,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,45,50,all,both,5343,,0.057,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
Spain,ESP1,50,55,all,both,5280,,0.058,,,,deaths.csv,27/04/2020,11/5/20,1,0,0,0,"https://www.mscbs.gob.es/ciudadanos/ene-covid/home.htm, accessed 15/06/2020",,
